question,answer,answer_gemma2b_hybrid
Who was the widow affected by the Same-sex marriage decision ruled on by the Sixth Circuit from Ohio?,Jim Obergefell,The context does not provide sufficient information to answer the question.
Rowland Barnes was murdered by a man on trial for what crime?,rape,The context does not provide sufficient information to answer the question.
"When was the actor who stared in ""Shallow Hal"",""School of Rock"", ""King Kong"", and played a supporting role in ""Jesus' Son"" born?","August 28, 1969",The context does not provide sufficient information to answer the question.
"Scott Eastwood appeared in a 2014 American war film that also stars Brad Pitt and Shia LaBeouf, and was written and directed by who?",David Ayer,The context does not provide sufficient information to answer the question.
"HIStory: Past, Present and Future, Book I was an album by the singer who had what nickname?",King of Pop,The context does not provide sufficient information to answer the question.
"George Boscawen, 9th Viscount Falmouth is a former officer in which regiment of the British Army ?","the Guards Division, Foot Guards regiments",The context does not provide sufficient information to answer the question.
What rank did football running back Adrian Peterson receive in the NFL Top 100 Players of 2013?,#1,The context does not provide sufficient information to answer the question.
How many of his professional fights did the brother of Dolph Camilli win ? ,33,The context does not provide sufficient information to answer the question.
What continent were both The Ring and Shonen Jump published in?,North America,The context does not provide sufficient information to answer the question.
Piña colada and Aperol Spritz can both be described as what kind of drink?,cocktail,The context does not provide sufficient information to answer the question.
Burt Styler wrote scripts for the CBS television show that was eventually followed by what sequel?,Archie Bunker's Place,The context does not provide sufficient information to answer the question.
When Vladimir Kashpur portrayed Baba Yaga she was one of how many sisters?,trio of sisters,The context does not provide sufficient information to answer the question.
When was the national park next to Ghost Town Village chartered by Congress?,1934,The context does not provide sufficient information to answer the question.
"Zeitgeist: The Spirit of the age, is focused on what claimed emerging clandestine totalitarian world government?",New World Order,The context does not provide sufficient information to answer the question.
Did Adriano Panatta and Heather Watson both win a Grand Slam title at Wimbledon?,no,The context does not provide sufficient information to answer the question.
What animated series is Pent-House Mouse related to?,shorts,The context does not provide sufficient information to answer the question.
"When was Ku Hye-sun, who appeared in the South Korean television series ""Angel Eyes"", born?","November 9, 1984",The context does not provide sufficient information to answer the question.
Led Zeppelin Deluxe Edition was a set of albums released by the group who formed on what date?,12 January 1969,The context does not provide sufficient information to answer the question.
Which musician has a solo punk rock project: Toshiko Koshijima or Frank Iero?,"Frank Anthony Iero, Jr.",Frank Iero
"In which year did this King of the United Kingdom and the Dominions of the British Empire, and Emperor of India, who opened the new building at Royal Northern Hospital in 1923, abdicate?",1936,The context does not provide sufficient information to answer the question.
Which island nation in the Indian Nation did Kate Kung Foo practice badminton in?,Mauritius,The context does not provide sufficient information to answer the question.
The director who directed a 2015 television film film that follows teenagers adjusting to life outside their island prison while on a mission to steal the Fairy Godmother's wand and free their parents from captivity was born in what year?,1950,The context does not provide sufficient information to answer the question.
Did the board games Taj Mahal and Sáhkku originate in the same country?,no,The context does not provide sufficient information to answer the question.
"Who is this Austrian-born American celebrity chef, restaurateur, and occasional actor at whose restaurant Ed LaDou helped develop California pizzas?",Wolfgang Puck,The context does not provide sufficient information to answer the question.
Who is the chairman of the third most valuable franchise in NHL and owns a 25% stake in the Maple Leaf Sports & Entertainment through his holding company Kilmer Sports Inc?,Larry Tanenbaum,The context does not provide sufficient information to answer the question.
G-Man was published by the company founded in what year?,1992,The context does not provide sufficient information to answer the question.
Which Magazine was published first? Harpies and Quines or Harper's Bazaar?,Harper's Bazaar,The context does not provide sufficient information to answer the question.
"Charlie Bryan (11 December 1933 - 2 November 2013) was the head of the International Association of Machinists union in the southeast United States, during the mid to late 1980s, in 1989, he led machinists to strike against Eastern Air Lines and which American businessman and philanthropist, born on May 19, 1940?","Francisco Anthony ""Frank"" Lorenzo",The context does not provide sufficient information to answer the question.
Are Crispian Mills and Amy Lee both singers ?,yes,The context does not provide sufficient information to answer the question.
 Gil Kenan worked on Monster House as well as another movie based on a Novel by which author?,Jeanne DuPrau,The context does not provide sufficient information to answer the question.
What company later acquired one of the magazines Tully Jensen was featured in?,Condé Nast Publications,The context does not provide sufficient information to answer the question.
What society of musicians was founded by Mitrofan Belayev and included Russian composer Natoly Lyadov?,the Belyayev circle,What society of musicians was founded by Mitrofan Belayev and included Russian composer Natoly Lyadov?
Similac is marketed by a health care company that has how many employees ?,"94,000",The context does not provide sufficient information to answer the question.
What is the original name of the wrestler who was featured in the Extreme Championship Wrestling that had won ECW Tag Team Champion?,Jonathan Rechner,The context does not provide sufficient information to answer the question.
Are Dayton International Airport and Westchester County Airport both in the same county?,no,The context does not provide sufficient information to answer the question.
Chris Bacon composed the film score for which 2011 film based loosely one of William Shakespeare's plays?,Gnomeo & Juliet,The context does not provide sufficient information to answer the question.
"George W. Forbes (1864-1927) was an American journalist who advocated for African-American civil rights in the late 19th and early 20th centuries, best known for co-founding the ""Boston Guardian"", an African-American newspaper in which he and William Monroe Trotter published editorials excoriating Booker T. Washington for his accommodationist approach to race relations, what's is  agreement struck in 1895 between Booker T. Washington, president of the Tuskegee Institute, other African-American leaders, and Southern white leaders, called?",Atlanta compromise,The context does not provide sufficient information to answer the question.
A Disney voice actor has won which Emmy award?,Outstanding Supporting Actor,The context does not provide sufficient information to answer the question.
"Which American music group played in the film ""Hysterical""?",The Hudson Brothers,The context does not provide sufficient information to answer the question.
Plastic is a British-American action comedy-crime film starring an English actress best known for playing the role of Hannah Ashworth in what long-running soap opera?,Hollyoaks,The context does not provide sufficient information to answer the question.
"The top grossing film in Australia in 2000 featured this Australian actress who is also known for the role of Doreen Burns in the series ""Prisoner?""",Colette Mann,The context does not provide sufficient information to answer the question.
What profession does Ulrich Seidl and Alejandro Jodorowsky have in common?,director,The context does not provide sufficient information to answer the question.
"Tom Buckingham and Jean-Luc Godard, have which mutual occupations?",film director and screenwriter,The context does not provide sufficient information to answer the question.
The Quivering is a video game in a subgenre where the games tries to frighten players with either horror graphics or what?,scary ambience,The context does not provide sufficient information to answer the question.
"Which opera had more people contribute to its writing and music, Don Giovanni or Béatrice et Bénédict?",Don Giovanni,The context does not provide sufficient information to answer the question.
Which north-western suburb of Adelaide lies within a territory which was established on 26 March 1996?,Birkenhead,The context does not provide sufficient information to answer the question.
"Which of the two colleges are private, Bilkent University or Boise State University?",Bilkent University,The context does not provide sufficient information to answer the question.
What profession is held in common with Donald Sawyer and Roberto Gavaldón?,film director,The context does not provide sufficient information to answer the question.
What South Korean global leader in online games for PC and mobile developed Crazy Arcade?,Nexon,Crazy Arcade was developed by Nexon.
Who created the British soap opera in which Rebecca Egan had the guest role of Kendra Hills-Smythe?,Julia Smith and Tony Holland,The context does not provide sufficient information to answer the question.
Who appeared as a DC Comic book hero in a title revived in 2007?,Donna Troy,The context does not provide sufficient information to answer the question.
"Tanedra Howard, who played Simone Bethson in the 2009 American horror film ""Saw VI"", was the winner of which reality show?",Scream Queens,The context does not provide sufficient information to answer the question.
What was the name of Red Hot Chili Peppers 1989 album released by EMI Records?,Mother's Milk,The context does not provide sufficient information to answer the question.
How many schools are in the league that the Penn Quakers compete in?,eight,The context does not provide sufficient information to answer the question.
"The author of ""Where Rainbows End"" was born in what city?",Dublin,The context does not provide sufficient information to answer the question.
"Are ""La serva padrona"" and ""Der Wildschütz"" both operas?",yes,The context does not provide sufficient information to answer the question.
"Which performer from All For One Theater is a native of Victor, Montana?",Tom Hewitt,The context does not provide sufficient information to answer the question.
Does Milium or Cucumis have plants that are tendril-bearing?,Cucumis,The context does not provide sufficient information to answer the question.
" ""Hear Me Now"" is a song recorded by a producer of electronic music from what city?",Goiânia,The context does not provide sufficient information to answer the question.
